Fecha;Valor
2025-01-01;1651916416,0
2025-02-01;8711498752,0
2025-03-01;12488005632,0
2025-04-01;13487840256,0
2025-05-01;16980043776,0
2025-06-01;28736073728,0
2025-07-01;25568995328,0
2025-08-01;22283313152,0
2025-09-01;19923499008,0
2025-10-01;11540120576,0
2025-11-01;16812872704,0
2025-12-01;21489160192,0
2026-01-01;16292126720,0
2026-02-01;25428404224,0
2026-03-01;21442732032,0
2026-04-01;16418470912,0
2026-05-01;16721203200,0
2026-06-01;21116362752,0
